| Nº | Nombre Amigable                                  | Nombre del Archivo CSV                                            | Descripción                                                                      |
| -- | ------------------------------------------------ | ----------------------------------------------------------------- | -------------------------------------------------------------------------------- |
| 1  | GDP by Country 1999-2022\_LONG                   | `GDP_by_Country_1999-2022_LONG.csv`                               | Producto Interno Bruto por país entre 1999 y 2022.                               |
| 2  | Coordenadas de Países                            | `world_country_latitude_and_longitude_values.csv`                 | Latitud y longitud de países del mundo.                                          |
| 3  | CO2 por sector (Colombia)                        | `IEA_CO2_emissions_by_sector_Colombia.csv`                        | Emisiones de CO2 en Colombia desglosadas por sector según la IEA.                |
| 4  | CO2 por combustibles (Colombia)                  | `IEA_CO2_emissions_fuel_combustion_Colombia.csv`                  | Emisiones de CO2 de la combustión de combustibles en Colombia.                   |
| 5  | Consumo eléctrico por sector (Colombia)          | `IEA_electricity_final_consumption_by_sector_Colombia.csv`        | Consumo final de electricidad por sector.                                        |
| 6  | Generación eléctrica por carbón (Colombia)       | `IEA_Electricity_generation_from_coal_Colombia.csv`               | Generación eléctrica a partir del carbón.                                        |
| 7  | Generación eléctrica por gas (Colombia)          | `IEA_Electricity_generation_from_gas_Colombia.csv`                | Generación eléctrica a partir del gas natural.                                   |
| 8  | Emisiones de carbón (Colombia)                   | `IEA_Emissions_from_coal_Colombia.csv`                            | Emisiones provenientes del uso de carbón.                                        |
| 9  | Estadísticas mensuales electricidad              | `Monthly_Electricity_Statistics.csv`                              | Estadísticas mensuales globales sobre electricidad.                              |
| 10 | Población por país y año                         | `poblacion_paises_por_año_unpivoted.csv`                          | Datos de población mundial por país y año.                                       |
| 11 | Transporte - consumo energético (Colombia)       | `IEA_transport_total_final_consumption_by_source_Colombia.csv`    | Consumo final de energía en el sector transporte.                                |
| 12 | Suministro de gas natural (Colombia)             | `IEA_Natural_gas_supply_Colombia.csv`                             | Datos de suministro de gas natural.                                              |
| 13 | Residencial - consumo energético (Colombia)      | `IEA_residential_total_final_consumption_by_source_Colombia.csv`  | Consumo energético en el sector residencial.                                     |
| 14 | Industria - consumo energético (Colombia)        | `IEA_industry_total_final_consumption_by_source_Colombia.csv`     | Consumo energético en el sector industrial.                                      |
| 15 | Biocombustibles y residuos por sector (Colombia) | `IEA_biofuels_and_waste_final_consumption_by_sector_Colombia.csv` | Consumo de biocombustibles y residuos por sector.                                |
| 16 | World Energy Balances Highlights 2024            | `World_Energy_Balances_Highlights_2024_en_CSV_unpivoted.csv`      | Balance energético mundial - versión 2024.                                       |
| 17 | BECO Histórico                                   | `BECO_Historico.csv`                                              | Base de datos histórica del sistema BECO (probablemente energética en Colombia). |
| 18 | Capacidad eléctrica mundial                      | `Global_Electricity_Capacity_Unpivoted.csv`                       | Capacidad de generación eléctrica global desglosada.                             |
